,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Cleaned_Review_Text,Extracted_Aspects,Aspect_Sentiment
69,1078,56,Great summer fabric!,"I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",3,0,1,General Petite,Dresses,Dresses,really wanted work alas strange fit straps would stay weird fit breast worked standing minute sat fell shoulders fabric beautiful loved pockets,"['fit', 'pockets']","{'fit': 1.0, 'pockets': 1.0}"
90,1078,51,Sweet flattering dress,"I love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!",4,1,0,General Petite,Dresses,Dresses,love cute summer dresses one especially made linen unique wellmade design quite flattering foot little curvy c bust got size fits well although difficult zip material give perfect dress wear italy france book tickets,['fit'],{'fit': 4.0}
117,1078,32,,"This is the perfect summer dress. it can be dressed up or down. the quality of the linen fabric is very nice. i'm 5'1"" and it hit right below my knees. i found it to run true to size. those with a smaller bust might want to go down a size, but the tie in the front can be adjusted. it's lovely.",5,1,2,General Petite,Dresses,Dresses,perfect summer dress dressed quality linen fabric nice im hit right knees found run true size smaller bust might want go size tie front adjusted lovely,['quality'],{'quality': 2.0}
467,1078,61,Great sweater dress!,"Nice fit and flare style, not clingy at all. i got the grey color, petite large, fits perfect. will wear with tights/boots or booties. lots of color options to accessorize with.",5,1,1,General,Dresses,Dresses,nice fit flare style clingy got grey color petite large fits perfect wear tightsboots booties lots color options accessorize,"['fit', 'style', 'color']","{'fit': 1.0, 'style': 1.0, 'color': 1.0}"
470,1078,33,"Cute, but cheap","When i first opened this dress and tried it on i thought it was adorable. it is very flattering on my hourglass figure and hides my recent baby weight. the problem is the hem. it was already rolling up when i took it out of the package, and i should have noticed and returned it, but i figured the problem would be easily solved by a good ironing. well, it wasn't, and it gets worse every time i wash the dress. it's like the hem isn't constructed properly.",3,0,0,General,Dresses,Dresses,first opened dress tried thought adorable flattering hourglass figure hides recent baby weight problem hem already rolling took package noticed returned figured problem would easily solved good ironing well wasnt gets worse every time wash dress like hem isnt constructed properly,['weight'],{'weight': 4.0}
474,1078,20,Super cute and flattering too,"I love this sweater dress and get compliments every time i wear it.. i bought the navy in size xs. the pattern and colors are just fun and youthful, although you don't have to be young to look good in this dress. the dress is fitted, but the skirt flares, making it flattering if you have hips like me. the material is not too heavy so you can wear this 3 seasons fall, winter, spring. as other reviews have mentioned the dress is short. i am 5'9"" so it does hit well above my knees. this isn't an is",5,1,1,General,Dresses,Dresses,love sweater dress get compliments every time wear bought navy size xs pattern colors fun youthful although dont young look good dress dress fitted skirt flares making flattering hips like material heavy wear seasons fall winter spring reviews mentioned dress short hit well knees isnt,"['fit', 'color', 'pattern']","{'fit': 4.0, 'color': 4.0, 'pattern': 4.0}"
476,1078,52,Fun dress,Extremely flattering. an easy dress to wear - good choice for both day and evening,5,1,1,General,Dresses,Dresses,extremely flattering easy dress wear good choice day evening,,
486,1078,46,Fun mix of colors in the grey version,"I ordered this dress in size xl in the grey/red/yellow combination. i love everything about this dress. it's comfortable. the colors are cheerful. the proportions of where the stripes are placed works. but, i have to return this dress. it's too short for what i'm comfortable wearing. i saw from the photos that this comes mid-thigh on the taller models. i hoped that would mean it would be more knee-length for me. unfortunately, it's just too short and i'd feel self-conscious. i don't want to deal",5,1,1,General,Dresses,Dresses,ordered dress size xl greyredyellow combination love everything dress comfortable colors cheerful proportions stripes placed works return dress short im comfortable wearing saw photos comes midthigh taller models hoped would mean would kneelength unfortunately short id feel selfconscious dont want deal,"['comfort', 'color', 'length']","{'comfort': 3.0, 'color': 3.0, 'length': 3.0}"
492,1078,31,For the shorter girls,"I really wanted to love this dress, but it was so short! i'm only 5'6"" so i don't consider myself really tall, but the dress only came a couple of inches lower than my butt! way too short for me. my husband asked if it was a shirt or dress haha. but i think this would look adorable on someone a few inches shorter. or someone younger who can pull of a short shirt :)",4,1,4,General,Dresses,Dresses,really wanted love dress short im dont consider really tall dress came couple inches lower butt way short husband asked shirt dress haha think would look adorable someone inches shorter someone younger pull short shirt,,
497,1078,49,,"Very cute, very comfortable. for me aesthetics and comfort must go hand in hand. this dress fits the bill.",5,1,2,General,Dresses,Dresses,cute comfortable aesthetics comfort must go hand hand dress fits bill,"['fit', 'comfort']","{'fit': 1.0, 'comfort': 1.0}"
